id,state,poverty,age,income,abbr,healthcare,smoke,obese
1,Alabama,19.3,38.6,42830,AL,13.9,45.7,33.5
2,Alaska,11.2,33.3,71583,AK,15.0,45.6,29.7
4,Arizona,18.2,36.9,50068,AZ,14.4,43.0,28.9
5,Arkansas,18.9,37.8,41262,AR,16.3,50.0,35.9
6,California,16.4,36.0,61933,CA,14.8,35.7,24.7
8,Colorado,12.0,36.3,61303,CO,12.8,42.2,21.3
9,Connecticut,10.8,40.5,70048,CT,8.7,43.1,26.3
10,Delaware,12.5,39.6,59716,DE,8.7,44.5,30.7
11,District of Columbia,17.7,33.8,71648,DC,8.3,35.400000000000006,21.7
12,Florida,16.5,41.6,47463,FL,17.6,45.4,26.2
13,Georgia,18.3,36.1,49321,GA,20.9,39.8,30.5
15,Hawaii,11.4,38.1,69592,HI,8.1,40.1,22.1
16,Idaho,14.8,35.9,47861,ID,16.5,39.8,28.9
17,Illinois,14.4,37.5,57444,IL,11.9,40.5,29.3
18,Indiana,15.2,37.4,49446,IN,14.8,47.0,32.7
19,Iowa,12.2,38.2,53712,IA,7.7,44.1,30.9
20,Kansas,13.6,36.2,52504,KS,14.5,41.7,31.3
21,Kentucky,19.1,38.5,42958,KY,10.0,51.6,31.6
22,Louisiana,19.8,36.1,44555,LA,18.7,46.2,34.9
23,Maine,14.1,44.1,49462,ME,11.0,51.3,28.2
24,Maryland,10.1,38.3,73971,MD,9.2,37.2,29.6
25,Massachusetts,11.6,39.4,69160,MA,4.6,41.5,23.3
26,Michigan,16.2,39.6,49847,MI,10.3,47.8,30.7
27,Minnesota,11.5,37.8,61481,MN,7.3,42.9,27.6
28,Mississippi,21.5,36.7,39680,MS,18.8,44.8,35.5
29,Missouri,15.5,38.5,48363,MO,12.9,45.0,30.2
30,Montana,15.4,39.6,46328,MT,12.9,47.1,26.4
31,Nebraska,12.4,36.2,52686,NE,12.4,42.0,30.2
32,Nevada,15.2,37.4,51450,NV,17.1,41.0,27.7
33,New Hampshire,9.2,42.5,66532,NH,11.4,47.6,27.4
34,New Jersey,11.1,39.4,71919,NJ,12.5,39.4,26.9
35,New Mexico,21.3,37.2,44803,NM,15.4,44.6,28.4
36,New York,15.9,38.2,58878,NY,12.3,38.0,27.0
37,North Carolina,17.2,38.3,46556,NC,16.1,43.5,29.7
38,North Dakota,11.5,35.1,59029,ND,8.8,44.0,32.2
39,Ohio,15.8,39.4,49308,OH,10.2,46.0,32.6
40,Oklahoma,16.6,36.2,47529,OK,13.9,47.0,33.0
41,Oregon,16.6,39.3,51075,OR,11.0,44.1,27.9
42,Pennsylvania,13.6,40.7,53234,PA,10.1,44.7,30.2
44,Rhode Island,14.3,39.8,54891,RI,8.0,44.0,27.0
45,South Carolina,18.0,38.8,45238,SC,17.1,46.8,32.1
46,South Dakota,14.2,36.6,50979,SD,9.9,45.0,29.8
47,Tennessee,18.3,38.6,44361,TN,14.2,48.2,31.2
48,Texas,17.2,34.3,53035,TX,24.9,35.8,31.9
49,Utah,11.7,30.5,60922,UT,13.9,25.700000000000003,25.7
50,Vermont,12.2,42.8,54166,VT,6.7,47.5,24.8
51,Virginia,11.8,37.7,64902,VA,13.1,42.7,28.5
53,Washington,13.2,37.5,61366,WA,10.7,41.7,27.3
54,West Virginia,18.3,41.9,41059,WV,10.1,53.4,35.7
55,Wisconsin,13.2,39.2,52622,WI,8.5,43.7,31.2
56,Wyoming,11.2,36.6,57055,WY,15.1,44.1,29.5
